ID,Month,Avy_Mort,Prop_Avy
LG032,12,0,0.11
LG033,1,0,0.08
LG033,2,0,0.05
LG033,3,0,0.05
LG033,4,0,0
LG033,5,0,0
LG033,10,0,0.81
LG033,11,0,0.21
LG033,12,0,0.08
LG034,1,0,0.17
LG034,2,0,0.24
LG034,3,0,0.26
LG034,4,0,0.47
LG034,5,0,0.57
LG034,10,0,0.78
LG034,11,0,0.46
LG034,12,0,0.33
LG035,1,0,0.31
LG035,2,0,0.64
LG035,3,0,0.46
LG035,4,0,0.55
LG035,5,0,0.79
LG035,10,0,0.78
LG035,11,0,0.18
LG035,12,0,0.3
LG036,1,0,0.29
LG036,2,0,0.14
LG036,3,0,0.17
LG036,4,0,0
LG036,5,0,0.19
LG036,10,0,0.76
LG036,11,0,0.21
LG036,12,0,0.04
LG037,1,0,0.05
LG037,2,0,0.06
LG037,3,0,0
LG037,4,0,0.05
LG037,5,0,0.21
LG037,10,0,0.78
LG037,11,0,0.17
LG037,12,0,0.02
LG038,1,0,0.06
LG038,2,0,0.23
LG038,3,0,0.04
LG038,4,0,0.09
LG038,5,0,0.54
LG038,10,0,0.82
LG038,11,0,0.26
LG038,12,0,0.16
LG039,1,0,0.03
LG039,2,0,0.11
LG039,3,0,0.03
LG039,4,0,0.19
LG039,5,0,0
LG039,10,0,0.7
LG039,11,0,0.21
LG039,12,0,0.23
LG040,1,0,0.05
LG040,2,0,0.03
LG040,3,0,0.03
LG040,4,0,0.14
LG040,5,0,0.19
LG040,10,0,0.98
LG040,11,0,0.14
LG040,12,0,0.06
LG041,1,0,0
LG041,2,0,0
LG041,3,0,0
LG041,4,0,0.01
LG041,5,0,0.64
LG041,10,0,0.7
LG041,11,0,0.23
LG041,12,0,0
LG042,1,0,0.33
LG042,2,0,0.21
LG042,3,0,0.22
LG042,4,0,0.22
LG042,5,0,0.3
LG042,10,0,0.25
LG042,11,0,0.22
LG042,12,0,0.29
LG043,1,0,0.14
LG043,2,0,0.23
LG043,3,0,0.18
LG043,4,0,0.21
LG043,5,0,0.29
LG043,10,0,0.36
LG043,11,0,0.5
LG043,12,0,0.11
LG044,10,0,0.3
LG045,1,0,0.12
LG045,2,0,0.17
LG045,3,0,0.34
LG045,4,0,0.03
LG045,5,0,0.08
LG045,10,0,0.55
LG045,11,0,0.14
LG045,12,0,0.1
LG046,1,0,0.07
LG046,2,0,0.02
LG046,3,0,0.01
LG046,4,0,0.07
LG046,5,0,0.11
LG046,10,0,0.82
LG046,11,0,0.31
LG046,12,0,0.08
LG047,1,0,0.02
LG047,2,0,0.04
LG047,10,0,0.48
LG047,11,0,0.32
LG047,12,0,0.11
LG048,1,0,0
LG048,2,0,0.01
LG048,3,0,0.05
LG048,4,0,0.01
LG048,10,0,0.74
LG048,11,0,0.25
LG048,12,0,0
LG049,1,0,0.21
LG049,2,0,0.32
LG049,3,0,0.31
LG049,4,0,0.23
LG049,5,0,0.42
LG049,10,0,0.87
LG049,11,0,0.25
LG049,12,0,0.16
LG050,1,0,0.05
LG050,2,0,0.07
LG050,3,0,0.05
LG050,4,0,0.18
LG050,10,0,0.25
LG050,11,0,0.35
LG050,12,0,0.15
LG051,1,0,0.12
LG051,2,0,0.12
LG051,3,0,0.02
LG051,4,0,0.16
LG051,5,0,0.34
LG051,10,0,0.8
LG051,11,0,0.12
LG051,12,0,0.17
LG052,1,0,0
LG052,2,0,0.14
LG052,3,0,0.06
LG052,4,0,0.11
LG052,5,0,0.3
LG052,10,0,0.61
LG052,11,0,0.2
LG052,12,0,0.06
LG053,1,0,0.16
LG053,2,0,0.12
LG053,3,0,0.22
LG053,4,0,0.2
LG053,5,0,0.61
LG053,10,0,0.8
LG053,11,0,0.26
LG053,12,0,0.11
LG054,1,0,0.15
LG054,2,0,0.37
LG054,3,0,0.26
LG054,4,0,0.51
LG054,5,0,0.61
LG054,10,0,0.72
LG054,11,0,0.26
LG054,12,0,0.25
LG055,10,0,0.76
LG056,1,0,0.16
LG056,2,0,0.23
LG056,3,0,0.3
LG056,4,0,0.31
LG056,10,0,0.92
LG056,11,0,0.96
LG056,12,0,0.36
LG057,1,0,0.83
LG057,2,0,0.33
LG057,3,0,0.71
LG057,4,0,0.42
LG057,5,0,0.58
LG057,10,0,0.78
LG057,11,0,0.31
LG057,12,0,0.52
LG058,1,0,0.01
LG058,2,0,0.04
LG058,3,0,0
LG058,4,0,0.21
LG058,5,0,0.46
LG058,10,0,0.87
LG058,11,0,0.31
LG058,12,0,0.05
LG059,1,0,0.15
LG059,2,0,0.24
LG059,3,0,0.03
LG059,4,0,0.15
LG059,5,0,0.26
LG059,10,0,0.77
LG059,11,0,0.3
LG059,12,0,0.03
LG060,1,0,0.26
LG060,2,0,0.22
LG060,3,0,0.29
LG060,4,0,0.26
LG060,5,0,0.22
LG060,10,0,0.05
LG060,11,0,0.16
LG060,12,0,0.09
LG061,1,0,0.11
LG061,2,0,0.19
LG061,3,0,0.22
LG061,4,0,0.62
LG061,5,0,0.89
LG061,10,0,0.23
LG061,11,0,0.24
LG061,12,0,0.14
LG062,1,0,0.22
LG062,2,0,0.29
LG062,3,0,0.1
LG062,4,0,0.1
LG062,5,0,0.31
LG062,10,0,0.33
LG062,11,0,0.19
LG062,12,0,0.1
LG063,1,0,0
LG063,2,0,0.03
LG063,3,0,0.05
LG063,10,0,0.81
LG063,11,0,0.6
LG063,12,0,0.05
LG064,1,1,0.06
LG064,2,1,0.04
LG064,3,1,0.15
LG064,4,1,0.05
LG064,5,1,0.37
LG064,10,1,0.63
LG064,11,1,0.07
LG064,12,1,0.15
LG065,1,0,0.36
LG065,2,0,0.02
LG065,3,0,0.07
LG065,4,0,0.08
LG065,5,0,0.06
LG065,10,0,0.22
LG065,11,0,0.37
LG065,12,0,0.04
LG066,1,0,0.31
LG066,2,0,0.25
LG066,3,0,0.32
LG066,4,0,0.39
LG066,5,0,0.74
LG066,10,0,0.85
LG066,11,0,0.4
LG066,12,0,0.28
LG068,1,0,0.22
LG068,2,0,0.41
LG068,3,0,0.29
LG068,4,0,0.45
LG068,5,0,0.59
LG068,10,0,0.82
LG068,11,0,0.19
LG068,12,0,0.25
LG069,1,0,0
LG069,2,0,0.05
LG069,3,0,0.09
LG069,4,0,0.07
LG069,5,0,0.04
LG069,10,0,0.86
LG069,11,0,0.34
LG069,12,0,0.09
LG070,1,0,0.91
LG070,2,0,0.8
LG070,3,0,0.86
LG070,4,0,0.97
LG070,5,0,0.93
LG070,10,0,0.9
LG070,11,0,0.75
LG070,12,0,0.88
LG071,1,1,0.34
LG071,2,1,0.28
LG071,3,1,0.55
LG071,4,1,0.36
LG071,5,1,0.92
LG071,10,1,0.81
LG071,11,1,0.46
LG071,12,1,0.27
LG072,10,0,0.95
LG073,1,1,0.79
LG073,2,1,0.62
LG073,3,1,0.76
LG073,10,1,0.45
LG073,11,1,0.74
LG073,12,1,0.67
LG074,1,0,0.03
LG074,2,0,0.07
LG074,3,0,0.03
LG074,4,0,0.41
LG074,5,0,0.91
LG074,10,0,0.86
LG074,11,0,0.38
